id_setor_censitario,sigla_uf,v002,v003,v004
355030803000087,SP1,20350,20350,0
355030832000158,SP1,839467,839467,0
355030883000061,SP1,303320,303320,0
355030854000029,SP1,1410902,1410902,0
355030870000214,SP1,882650,882650,0
355030843000407,SP1,31090,31090,0
355030890000002,SP1,25000,25000,0
355030809000046,SP1,63600,63600,0
355030863000238,SP1,71200,71200,0
355030854000064,SP1,584560,584560,0
355030880000002,SP1,81250,81250,0
355030876000172,SP1,45770,45770,0
355030854000126,SP1,2670350,2670350,0
355030854000130,SP1,2650410,2650410,0
355030845000125,SP1,104905,104905,0
355030883000053,SP1,990310,990310,0
355030854000027,SP1,1211720,1211720,0
355030841000105,SP1,68003,68003,0
355030854000104,SP1,770501,770501,0
355030845000067,SP1,482770,482770,0
355030848000105,SP1,115020,115020,0
355030869000149,SP1,124510,124510,0
355030883000180,SP1,791000,791000,0
355030883000027,SP1,658850,658850,0
355030809000028,SP1,62910,62910,0
355030838000138,SP1,40700,40700,0
355030881000257,SP1,55620,55620,0
355030835000173,SP1,2417172,2417172,0
355030835000207,SP1,255730,255730,0
355030877000127,SP1,119024,119024,0
355030870000192,SP1,178990,178990,0
355030812000070,SP1,55260,55260,0
355030845000197,SP1,427000,427000,0
355030829000230,SP1,64520,64520,0
355030854000129,SP1,5361680,5360880,800
355030809000038,SP1,36316,36316,0
355030883000012,SP1,641960,641960,0
355030862000057,SP1,648670,648670,0
355030802000074,SP1,2422185,2422185,0
355030883000054,SP1,728800,728800,0
355030860000196,SP1,882933,882933,0
355030868000302,SP1,91450,91450,0
355030883000089,SP1,711050,711050,0
355030845000029,SP1,1825462,1825462,0
355030802000069,SP1,1947451,1947451,0
355030851000150,SP1,279260,279260,0
355030871000132,SP1,1548182,1548182,0
355030871000002,SP1,292855,292855,0
355030871000102,SP1,707426,707426,0
355030832000162,SP1,655220,655220,0
355030894000243,SP1,1638025,1638025,0
355030812000038,SP1,78150,78150,0
355030890000229,SP1,473016,473016,0
355030854000088,SP1,1748290,1748290,0
355030854000133,SP1,326520,326520,0
355030862000173,SP1,660791,660791,0
355030883000120,SP1,747460,747460,0
355030858000221,SP1,76272,76272,0
355030826000138,SP1,278862,278862,0
355030888000034,SP1,220112,220112,0
355030850000115,SP1,133864,133864,0
355030883000185,SP1,1285382,1285382,0
355030854000005,SP1,2134440,2134440,0
355030835000104,SP1,1399714,1399714,0
355030883000165,SP1,1609362,1609362,0
355030812000054,SP1,1441087,1441087,0
355030815000103,SP1,473975,473975,0
355030847000105,SP1,153782,153782,0
355030854000039,SP1,2249000,2249000,0
355030862000114,SP1,2522080,2522080,0
355030854000128,SP1,1907761,1907761,0
355030883000152,SP1,1757376,1757376,0
355030854000065,SP1,1815277,1815277,0
355030854000089,SP1,1991972,1991972,0
355030885000077,SP1,213216,213216,0
355030812000016,SP1,252985,252985,0
355030883000058,SP1,2506070,2500070,6000
355030835000174,SP1,572700,572700,0
355030862000160,SP1,1494838,1494838,0
355030835000059,SP1,1531045,1531045,0
355030882000139,SP1,190680,190170,510
355030870000087,SP1,265675,265675,0
355030806000037,SP1,229810,229810,0
355030832000143,SP1,1125062,1125062,0
355030854000012,SP1,3478027,3478027,0
355030854000057,SP1,1085980,1085980,0
355030832000010,SP1,3181894,3181894,0
355030845000009,SP1,2361970,2361970,0
355030862000097,SP1,1291620,1291620,0
355030866000083,SP1,134984,134984,0
355030834000025,SP1,97470,97470,0
355030883000091,SP1,825983,825983,0
355030835000046,SP1,355220,355220,0
355030860000079,SP1,1124230,1124230,0
355030810000023,SP1,110280,110280,0
355030832000008,SP1,3162900,3162900,0
355030889000065,SP1,674919,674919,0
355030822000076,SP1,439640,439640,0
355030894000187,SP1,1146510,1146510,0
355030890000131,SP1,180201,180201,0
355030807000029,SP1,434065,434065,0
355030810000017,SP1,212430,212430,0
355030848000137,SP1,650992,650992,0
355030835000043,SP1,1021520,1021520,0
355030867000142,SP1,951572,951572,0
355030840000024,SP1,218055,218055,0
355030853000105,SP1,1864500,1864500,0
355030883000131,SP1,1295085,1295085,0
355030807000023,SP1,623182,623182,0
355030851000156,SP1,450840,450840,0
355030854000123,SP1,1786450,1786450,0
355030867000029,SP1,230589,230589,0
355030877000033,SP1,190370,190370,0
355030845000010,SP1,3595170,3595170,0
355030854000097,SP1,528811,528811,0
355030832000032,SP1,3379130,3379130,0
355030862000162,SP1,1395896,1395896,0
355030883000206,SP1,1149290,1149290,0
355030883000124,SP1,944810,944810,0
355030807000141,SP1,239022,239022,0
355030868000301,SP1,179899,179899,0
355030834000053,SP1,338460,338460,0
355030867000150,SP1,1284650,1284650,0
355030860000215,SP1,484252,484252,0
355030871000057,SP1,589960,589960,0
355030835000180,SP1,1088739,1088739,0
355030854000050,SP1,2977650,2977650,0
355030862000155,SP1,1944513,1944513,0
355030862000159,SP1,1501182,1501182,0
355030854000016,SP1,2632832,2632832,0
355030802000044,SP1,2960960,2960960,0
355030883000110,SP1,923820,923820,0
355030835000077,SP1,2340449,2340449,0
355030865000188,SP1,148059,148059,0
355030854000077,SP1,575583,575583,0
355030832000003,SP1,1365134,1365134,0
355030808000056,SP1,213704,213704,0
355030894000040,SP1,229653,229653,0
355030854000125,SP1,1088585,1088585,0
355030883000114,SP1,959220,959220,0
355030883000171,SP1,1206606,1206606,0
355030826000121,SP1,822836,822836,0
355030854000067,SP1,1285300,1285300,0
355030867000145,SP1,441346,441346,0
355030880000142,SP1,713025,713025,0
355030883000164,SP1,2329610,2329610,0
355030832000029,SP1,1775000,1765000,10000
355030877000208,SP1,541675,541675,0
355030811000054,SP1,233460,233460,0
355030883000116,SP1,2475330,2475330,0
355030894000155,SP1,283194,283194,0
355030845000037,SP1,3179202,3179202,0
355030849000027,SP1,261080,261080,0
355030815000050,SP1,1693571,1693571,0
355030845000031,SP1,1695001,1695001,0
355030816000162,SP1,882903,882903,0
355030812000109,SP1,454677,454677,0
355030894000054,SP1,2514230,2514230,0
355030842000209,SP1,131141,131141,0
355030870000229,SP1,131570,131570,0
355030845000132,SP1,875722,875722,0
355030883000155,SP1,1502110,1502110,0
355030832000177,SP1,515442,515442,0
355030826000146,SP1,680921,680921,0
355030838000272,SP1,769011,769011,0
355030860000217,SP1,772670,772670,0
355030871000128,SP1,4101764,4101764,0
355030815000123,SP1,3530313,3530313,0
355030845000192,SP1,969373,969373,0
355030883000112,SP1,1783520,1783520,0
355030854000008,SP1,2131410,2131410,0
355030802000067,SP1,2853444,2853444,0
355030868000296,SP1,165970,165970,0
355030854000086,SP1,1384103,1384103,0
355030832000034,SP1,2207450,2207450,0
355030845000182,SP1,1660720,1660720,0
355030883000092,SP1,754750,754750,0
355030845000023,SP1,1824882,1824882,0
355030832000173,SP1,2045000,2045000,0
355030848000110,SP1,215301,215301,0
355030832000175,SP1,6645970,6645970,0
355030890000092,SP1,366131,366131,0
355030826000145,SP1,499220,499220,0
355030883000096,SP1,878361,878361,0
355030845000022,SP1,2181766,2181766,0
355030835000181,SP1,4492213,4492213,0
355030854000090,SP1,3440026,3440026,0
355030832000013,SP1,2662575,2662575,0
355030854000078,SP1,320325,320325,0
355030845000194,SP1,330728,330728,0
355030845000030,SP1,1341237,1341237,0
355030812000142,SP1,389222,389222,0
355030826000142,SP1,492630,492630,0
355030835000102,SP1,1522342,1522342,0
355030826000124,SP1,189594,189594,0
355030870000182,SP1,1154355,1154355,0
355030894000075,SP1,663740,663740,0
355030832000052,SP1,1025415,1025415,0
355030813000152,SP1,281310,281310,0
355030826000071,SP1,2913109,2913109,0
355030818000158,SP1,278850,278850,0
355030832000093,SP1,2043249,2043249,0
355030859000195,SP1,263681,263681,0
355030883000066,SP1,837010,837010,0
355030883000010,SP1,1798791,1798791,0
355030883000083,SP1,1575950,1575950,0
355030860000160,SP1,1355793,1355793,0
355030817000302,SP1,162606,162606,0
355030862000052,SP1,368026,368026,0
355030815000120,SP1,1811245,1811245,0
355030845000059,SP1,1167723,1167723,0
355030807000045,SP1,236028,236028,0
355030815000131,SP1,4304430,4304430,0
355030883000205,SP1,1360085,1360085,0
355030812000131,SP1,779081,779081,0
355030845000181,SP1,2421736,2421736,0
355030826000128,SP1,559603,559603,0
355030862000050,SP1,789654,789654,0
355030812000140,SP1,380090,380090,0
355030816000149,SP1,1293141,1293141,0
355030870000185,SP1,896430,896430,0
355030883000111,SP1,1140990,1140990,0
355030835000103,SP1,1541157,1541157,0
355030867000082,SP1,262240,262240,0
355030842000205,SP1,183376,183376,0
355030812000139,SP1,336803,336803,0
355030832000009,SP1,2226921,2226921,0
355030832000167,SP1,1245640,1245640,0
355030860000169,SP1,978264,978264,0
355030883000029,SP1,1528580,1528580,0
355030845000205,SP1,3098430,3090820,7610
